epoch,stage,train_loss,train_g_loss,train_d_loss,val_psnr,val_ssim,val_lpips,learning_rate_g,learning_rate_d,batch_time,epoch_time,memory_usage,is_best_psnr,is_best_ssim,is_best_lpips
32,gan,0,0.030122395996004345,0.08800304033789022,40.73895801925659,0.9550659801165263,0.04827434472806959,0.0001,0.0001,0.19611199792226156,329.1013321876526,0.5751347541809082,False,False,False
33,gan,0,0.03167269300917784,0.07768002103504902,40.341114877065024,0.9500075114038256,0.054668624551449385,0.0001,0.0001,0.19512607558568318,326.15587282180786,0.5757451057434082,False,False,False
34,gan,0,0.03205357712755601,0.05671097020785426,39.79408347225189,0.9456650136278735,0.06683276262693107,0.0001,0.0001,0.19478316911061605,326.11393880844116,0.5757451057434082,False,False,False
35,gan,0,0.029876622480650743,0.08268596322867962,40.46463038847182,0.9541270183457269,0.04918266547015972,0.0001,0.0001,0.1956754331588745,328.41743636131287,0.5745854377746582,False,False,False
36,gan,0,0.031248412578056255,0.06570212320968524,40.23386182996962,0.9507351203825739,0.05757651196942768,0.0001,0.0001,0.19548292064666747,328.9993257522583,0.5746464729309082,False,False,False
37,gan,0,0.030985576992233595,0.06872634366410542,40.08085147137112,0.9523647325767411,0.05011590602559348,0.0001,0.0001,0.1950757883389791,326.98568201065063,0.5751957893371582,False,False,False
38,gan,0,0.03237234963849187,0.05352416517875524,40.1645439529419,0.9535075033770667,0.058009503175401024,0.0001,0.0001,0.19497521734237672,328.4623556137085,0.5745854377746582,False,False,False
39,gan,0,0.03121980772788326,0.07178653953545654,40.58237768300374,0.9511404194699393,0.04685416738828644,0.0001,0.0001,0.1952645910580953,327.5017297267914,0.5749516487121582,False,False,False
40,gan,0,0.030876569339384635,0.06853158037419023,40.057030365837946,0.9499365379942788,0.05100351844448596,0.0001,0.0001,0.19559177049001059,328.0546016693115,0.5750126838684082,False,False,False
41,gan,0,0.03265778824687004,0.05325906656347797,40.202057008531355,0.9512696986860699,0.05760764377828066,0.0001,0.0001,0.19473365624745687,326.9558069705963,0.5758671760559082,False,False,False
42,gan,0,0.032741078699628515,0.043661875436009114,38.284931134117976,0.91284250004424,0.1320945487919574,0.0001,0.0001,0.19547735913594563,327.67950105667114,0.5744633674621582,False,False,False
43,gan,0,0.032132735391457876,0.05750887353487989,39.876880166795516,0.9477616871065564,0.0791190490513626,0.0001,0.0001,0.19499627526601154,326.387188911438,0.5740971565246582,False,False,False
44,gan,0,0.03383401519432664,0.034170918517769586,39.86231299082438,0.95221710020966,0.06180508095652072,0.0001,0.0001,0.19535277096430462,328.3588967323303,0.5747685432434082,False,False,False
45,gan,0,0.03281929203495383,0.048187136619422595,39.254596650865345,0.9347644837101301,0.0886025639877965,0.0001,0.0001,0.19500733963648478,327.5727529525757,0.5755620002746582,False,False,False
46,gan,0,0.03240154976521929,0.03910830869048671,38.90772746425205,0.9374607998099592,0.07374869133480307,0.0001,0.0001,0.19532078647613527,326.55637764930725,0.5742802619934082,False,False,False
